[kenya:~/src] ./http-timing.py --iterations 5000 --requests=290
1169 Status code 200 time 5090323
1174 Status code 200 time 5062493
1179 Status code 200 time 4760470
1184 Status code 200 time 4874038
1189 Status code 200 time 5131559
1194 Status code 200 time 5374326
1199 Status code 200 time 5184639
1205 Status code 200 time 4783390
1209 Status code 200 time 4758545
1214 Status code 200 time 8378156
1222 Status code 200 time 8085556
1231 Status code 200 time 5051503
1236 Status code 200 time 4889857
1241 Status code 200 time 4721016
1245 Status code 200 time 4594058
1250 Status code 200 time 4636638
1255 Status code 200 time 4640054
1259 Status code 200 time 4659483
1264 Status code 200 time 4774020
1269 Status code 200 time 4862820
1274 Status code 200 time 4730763
1278 Status code 200 time 4701734
1283 Status code 200 time 4592661
1288 Status code 200 time 4706768
1292 Status code 200 time 4702432
1297 Status code 200 time 4697073
1302 Status code 200 time 4723415
1307 Status code 200 time 4662675
1311 Status code 200 time 4588100
1316 Status code 200 time 4633333
1321 Status code 200 time 4629113
1325 Status code 200 time 4913655
1330 Status code 200 time 4723681
1335 Status code 200 time 4737061
1340 Status code 200 time 4835979
1345 Status code 200 time 4605864
1349 Status code 200 time 4553968
1354 Status code 200 time 4690673
1358 Status code 200 time 4589573
1363 Status code 200 time 4660552
1368 Status code 200 time 4547190
1372 Status code 200 time 4872917
1377 Status code 200 time 5073671
1382 Status code 200 time 4872875
1387 Status code 200 time 4723354
1392 Status code 200 time 4963117
1397 Status code 200 time 4627590
1402 Status code 200 time 4630450
1406 Status code 200 time 5004363
1411 Status code 200 time 5303531
1417 Status code 200 time 5602761
1422 Status code 200 time 5323071
1428 Status code 200 time 5297913
1433 Status code 200 time 4975852
1438 Status code 200 time 5086390
1443 Status code 200 time 4984779
1448 Status code 200 time 4818412
1453 Status code 200 time 4698159
1458 Status code 200 time 5086276
1463 Status code 200 time 4733849
1467 Status code 200 time 4836559
1472 Status code 200 time 4927901
1477 Status code 200 time 4774134
1482 Status code 200 time 5111612
1487 Status code 200 time 4717489
1492 Status code 200 time 4552565
1497 Status code 200 time 4587632
100 requests in 1501ms avg 5ms
